Sr No.,Drawing,Source of data,Common name Marathi,Common name English,Scientific Name,Name,Tag,Link to artwork,Artist name,Grove type / Category,Short description,Artist's social media
,,,,,,,,,,,,
,,,Asana,Spinous Kino Tree,Bridelia retusa, आसणा,,,,,,
,,,Sitaranjan,Fiddlewood Tree,Citharexylum spinosum,सीतारंजन,Tree,,,,,
,,,Sonchafa,Golden Champa,Magnolia champaca,सोनचाफा,,https://drive.google.com/drive/u/0/folders/1bLQ6MDM35px-VvJJByTVV_0g8WnuNbC0,Medha,,,
,,,Naral,Coconut,Cocos nucifera,नारळ,,,,,,
,,,Water Berry,Water Berry,Syzygium cordatum,वॉटर बेरी,,,,,,
,,,Shikakai,Soap Pod,Senegalia merrillii,शिकेकाई,,https://drive.google.com/drive/u/0/folders/1bLQ6MDM35px-VvJJByTVV_0g8WnuNbC0,Medha,,,
,,,Limbara,Malabar Neem,Melia dubia,,,,,,,
,,,Kinjal,Flowering Murdah,Terminalia paniculata,,,,,,,
,,,Tambat,Madagascar Plum,Flacourtia indica,तांबट,,,,,,
,,,Malkanguni,,Celastrus paniculatus,मालकांगुणी,Climber,,,,,
,,,Dev Savar,Silk cotton tree,Bombax insigne,देव सावर,,,,,,
,,,Vilayati Chinch,Madras Thorn,Pithecellobium dulce,विलायती चिंच,,,,,,
,,,Kadhipatta ,Curry Leaf Plant,Murraya koenigii,कढीपत्ता,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,[object Object],,Vadache jhaad,Banyan,Ficus benghalensis,वड,,https://drive.google.com/file/d/10VYVTAlsnFPo_RVzHq6Be7Zi8iCF4maJ/view?usp=drive_link,Medha Bhagwat,,,
,,,,,,,,,,,,
,[object Object],,Vanajai ,Wild Jasmine ,Clerodendrum inerme / Volkameria inermis,वनजाई,Shrub,https://drive.google.com/file/d/1-AP1wsM5q_ORDjRI0tecSjM4kQM_ETwB/view?usp=drive_link,Lavanya Dhyani,Flower,"The tree is a shrub 1–4 metres, but it can grow into a tree with a height up to 10 m. The flower is trumpet-shaped with white petals. It grows in clusters each made of 3 to 7 of them joined at the base. Its parts have many medical properties. The seeds and roots are used to treat symptoms of venom bites by some fish and other marine animals. It is the preferred local food plant for the caterpillars of the butterfly gram blue (",
,[object Object],,Mhalungi,Purple morning Glory,Argyreia cuneata,म्हाळुंगी,Climbing Shrub,https://drive.google.com/file/d/1CC70dEnYM7zGTUK1UmPregMuQbaUf6jy/view?usp=sharing,Lavanya Dhyani,All parts of the tree,"Mhalungi plant is used to treat diabetes, helminthic infections, skin cuts, to initiate labor pain and to ease delivery. Common on degraded hill slopes of dry deciduous forests, occasional in
plains along hedges. ",
132,[object Object],8 NATURALS,Jambhul,Java plum/ Indian blackberry ,Syzygium cumini,जांभूळ,Tree,https://drive.google.com/file/d/1Q2diGlvyPlpR9uuAyjqj8rT70FDOPPIQ/view?usp=sharing,Maithili Phatak,,,
260,,Field visit,Anjani,,Memecylon umbellatum,अंजनी,Tree,,Vatsala,,,
,,8 NATURALS,Shindi,,Phoenix sylvestris,शिंदी,Tree,,Bhavana,,,
259,[object Object],8 NATURALS,Rui,Rubber tree /rubber bush ,Calotropis procera,रुई,Shrub,,Medha Bhagwat,All parts of the tree,"Rui typically grows in sunny and partly shaded habitats, including overgrazed pastures, rangeland, roadsides, river flats and coastal dunes. The leaves of Calotropis procera are said to be valuable as an antidote for snake bite, sinus fistula, rheumatism, mumps, burn injuries, and body pain. Its green fruits contain a toxic milky sap that is extremely bitter and turns into a gluey coating which is resistant to soap. The plant feeds monarch butterfly caterpillars. The fibre of the Rui may have been used for the linen of the high priests. The fruit is filled chiefly with air, which gives it the round form; while in the center a small slender pod runs through it which contains a small quantity of fine silk. The plant is poisonous if eaten by livestock. This plant is also found along road verges and in drainage lines. The milky sap contains a complex mix of chemicals, some of which are steroidal heart poisons for humans known as ""cardiac aglycones"". All parts of the plants are toxic. ",IG- @_medhu_vada_
